Position,RobotLineNr,Laser,Laser Name,Row,PFO, PFO Name,New Laser,New PFO
1,108,1, Global Call,0,400, GMC17A WD A31 NLP,12346,7040
2,118,1, Global Call,0,401, GMC17A SP A35 NLP,12346,7041
3,122,47, GMC17A-SP-A1-A2-A3-A4,1,402, GMC17A SP A1 L147,12392,7042
3,122,47, GMC17A-SP-A1-A2-A3-A4,2,403, GMC17A SP A2 L147,12392,7043
3,122,47, GMC17A-SP-A1-A2-A3-A4,3,404, GMC17A SP A3 L147,12392,7044
3,122,47, GMC17A-SP-A1-A2-A3-A4,4,405, GMC17A SP A4 L147,12392,7045
4,130,40, GMC17A-WD-I2-I4,1,406, GMC17A WD I2 L158,12385,7046
4,130,40, GMC17A-WD-I2-I4,2,407, GMC17A WD I4 L158,12385,7047
5,138,48, GMC17A-WD-A3-A4,1,408, GMC17A WD A3 L148,12393,7048
5,138,48, GMC17A-WD-A3-A4,2,409, GMC17A WD A4 L148,12393,7049
6,142,49, GMC17A-WD-A1-A2,1,410, GMC17A WD A1 L149,12394,7050
6,142,49, GMC17A-WD-A1-A2,2,411, GMC17A WD A2 L149,12394,7051
7,151,1, Global Call,0,412, GMC17A WD B11 NLP,12346,7052
8,155,53, GMC17A-WD-B1-B8-B9,1,413, GMC17A WD B1 L153,12398,7053
8,155,53, GMC17A-WD-B1-B8-B9,2,414, GMC17A WD B8 L153,12398,7054
8,155,53, GMC17A-WD-B1-B8-B9,3,415, GMC17A WD B9 L153,12398,7055
9,159,1, Global Call,0,416, B4B5SPGMC17,12346,7056
10,169,1, Global Call,0,417, GMC17A SP A43 NLP,12346,7057
11,177,1, Global Call,0,418, GMC17A WD A43 NLP,12346,7058
12,183,1, Global Call,0,419, GMC17A WD A35 NLP,12346,7059
13,191,1, Global Call,0,420, A31SPGMC17,12346,7060
14,199,59, WDAGMC17J4J5,1,421, J4WDGMC17,12404,7061
14,199,59, WDAGMC17J4J5,2,422, J5WDGMC17,12404,7062
15,208,1, Global Call,0,423, L3L4SPGMC17,12346,7063
16,214,1, Global Call,0,424, A49WDGMC17,12346,7064
17,220,1, Global Call,0,425, M3M4SPGMC17,12346,7065
18,227,41, WDAGMC17-H4-H5,1,426, H4WDGMC17,12386,7066
18,227,41, WDAGMC17-H4-H5,2,427, H5WDGMC17,12386,7067
19,235,1, Global Call,0,428, A32SPGMC17,12346,7068
20,243,1, Global Call,0,429, GMC17A WD A36 NLP,12346,7069
21,247,56, WDAGMC17A11A12,1,430, A11WDGMC17,12401,7070
21,247,56, WDAGMC17A11A12,2,431, A12WDGMC17,12401,7071
22,251,57, WDAGMC17A13A14,1,432, A13WDGMC17,12402,7072
22,251,57, WDAGMC17A13A14,2,433, A14WDGMC17,12402,7073
23,259,55, SPAGMC17A11A12A13A14,1,434, A11SPGMC17,12400,7074
23,259,55, SPAGMC17A11A12A13A14,2,435, A12SPGMC17,12400,7075
23,259,55, SPAGMC17A11A12A13A14,3,436, A13SPGMC17,12400,7076
23,259,55, SPAGMC17A11A12A13A14,4,437, A14SPGMC17,12400,7077
24,266,61, WDAGMC-G1-G3,1,438, G1WDGMC17,12406,7078
24,266,61, WDAGMC-G1-G3,2,439, G3WDGMC17,12406,7079
25,279,1, Global Call,0,440, GMC17A WD D12 NLP,12346,7080
26,286,54, WDAGMC17D6D8D9,1,441, GMC17A WD D6 L154,12399,7081
26,286,54, WDAGMC17D6D8D9,2,442, GMC17A WD D8 L154,12399,7082
26,286,54, WDAGMC17D6D8D9,3,443, GMC17A WD D9 L154,12399,7083
27,290,1, Global Call,0,444, GMC17A SP D1-D5 NLP,12346,7084
28,298,1, Global Call,0,445, GMC17A WD A44 NLP,12346,7085
29,306,1, Global Call,0,446, GMC17A SP A44 NLP,12346,7086
30,310,1, Global Call,0,447, GMC17A SP A36 NLP,12346,7087
31,318,1, Global Call,0,448, GMC17A WD A32 NLP,12346,7088
32,330,62, WDAGMC17-M3-SP-M2-M1,1,449, M3WDGMC17,12407,7089
32,330,62, WDAGMC17-M3-SP-M2-M1,2,450, M2SPGMC17,12407,7090
32,330,62, WDAGMC17-M3-SP-M2-M1,3,451, M1SPGMC17,12407,7091
33,334,63, WDAGMC17-M4-SP-M5-M6,1,452, M4WDGMC17,12408,7092
33,334,63, WDAGMC17-M4-SP-M5-M6,2,453, M5SPGMC17,12408,7093
33,334,63, WDAGMC17-M4-SP-M5-M6,3,454, M6SPGMC17,12408,7094
34,338,1, Global Call,0,455, GMC17A SPc E2 NLP,12346,7095
35,342,64, WDAGMC17-D1-D5-SP-D2-D4-D3-D7,1,456, D1WDGMC17,12409,7096
